"type"	"pid"	"line"	"id"	"user"	"host"	"term"	"exit"	"session"	"sec"	"usec"	"addr"
"BOOT_TIME"	"0"	"~"	"~~"	"reboot"	"6.2.0-1017-aws"	"0"	"0"	"0"	"2024/01/25 11:12:17"	"804944"	"0.0.0.0"
"INIT"	"601"	"ttyS0"	"tyS0"	""	""	"0"	"0"	"601"	"2024/01/25 11:12:31"	"72401"	"0.0.0.0"
"LOGIN"	"601"	"ttyS0"	"tyS0"	"LOGIN"	""	"0"	"0"	"601"	"2024/01/25 11:12:31"	"72401"	"0.0.0.0"
"INIT"	"618"	"tty1"	"tty1"	""	""	"0"	"0"	"618"	"2024/01/25 11:12:31"	"80342"	"0.0.0.0"
"LOGIN"	"618"	"tty1"	"tty1"	"LOGIN"	""	"0"	"0"	"618"	"2024/01/25 11:12:31"	"80342"	"0.0.0.0"
"RUN_LVL"	"53"	"~"	"~~"	"runlevel"	"6.2.0-1017-aws"	"0"	"0"	"0"	"2024/01/25 11:12:33"	"792454"	"0.0.0.0"
"USER"	"1284"	"pts/0"	"ts/0"	"ubuntu"	"203.101.190.9"	"0"	"0"	"0"	"2024/01/25 11:13:58"	"354674"	"203.101.190.9"
"DEAD"	"1284"	"pts/0"	""	""	""	"0"	"0"	"0"	"2024/01/25 11:15:12"	"956114"	"0.0.0.0"
"USER"	"1483"	"pts/0"	"ts/0"	"root"	"203.101.190.9"	"0"	"0"	"0"	"2024/01/25 11:15:40"	"806926"	"203.101.190.9"
"DEAD"	"1404"	"pts/0"	""	""	""	"0"	"0"	"0"	"2024/01/25 12:34:34"	"949753"	"0.0.0.0"
"USER"	"836798"	"pts/0"	"ts/0"	"root"	"203.101.190.9"	"0"	"0"	"0"	"2024/02/11 10:33:49"	"408334"	"203.101.190.9"
"INIT"	"838568"	"ttyS0"	"tyS0"	""	""	"0"	"0"	"838568"	"2024/02/11 10:39:02"	"172417"	"0.0.0.0"
"LOGIN"	"838568"	"ttyS0"	"tyS0"	"LOGIN"	""	"0"	"0"	"838568"	"2024/02/11 10:39:02"	"172417"	"0.0.0.0"
"USER"	"838962"	"pts/1"	"ts/1"	"root"	"203.101.190.9"	"0"	"0"	"0"	"2024/02/11 10:41:11"	"700107"	"203.101.190.9"
"DEAD"	"838896"	"pts/1"	""	""	""	"0"	"0"	"0"	"2024/02/11 10:41:46"	"272984"	"0.0.0.0"
"USER"	"842171"	"pts/1"	"ts/1"	"root"	"203.101.190.9"	"0"	"0"	"0"	"2024/02/11 10:54:27"	"775434"	"203.101.190.9"
"DEAD"	"842073"	"pts/1"	""	""	""	"0"	"0"	"0"	"2024/02/11 11:08:04"	"769514"	"0.0.0.0"
"DEAD"	"836694"	"pts/0"	""	""	""	"0"	"0"	"0"	"2024/02/11 11:08:04"	"769963"	"0.0.0.0"
"RUN_LVL"	"0"	"~"	"~~"	"shutdown"	"6.2.0-1017-aws"	"0"	"0"	"0"	"2024/02/11 11:09:18"	"731"	"0.0.0.0"
"BOOT_TIME"	"0"	"~"	"~~"	"reboot"	"6.2.0-1018-aws"	"0"	"0"	"0"	"2024/03/06 06:17:15"	"744575"	"0.0.0.0"
"INIT"	"464"	"ttyS0"	"tyS0"	""	""	"0"	"0"	"464"	"2024/03/06 06:17:27"	"354378"	"0.0.0.0"
"LOGIN"	"464"	"ttyS0"	"tyS0"	"LOGIN"	""	"0"	"0"	"464"	"2024/03/06 06:17:27"	"354378"	"0.0.0.0"
"INIT"	"505"	"tty1"	"tty1"	""	""	"0"	"0"	"505"	"2024/03/06 06:17:27"	"469940"	"0.0.0.0"
"LOGIN"	"505"	"tty1"	"tty1"	"LOGIN"	""	"0"	"0"	"505"	"2024/03/06 06:17:27"	"469940"	"0.0.0.0"
"RUN_LVL"	"53"	"~"	"~~"	"runlevel"	"6.2.0-1018-aws"	"0"	"0"	"0"	"2024/03/06 06:17:29"	"538024"	"0.0.0.0"
"USER"	"1583"	"pts/0"	"ts/0"	"root"	"203.101.190.9"	"0"	"0"	"0"	"2024/03/06 06:19:55"	"151913"	"203.101.190.9"
"USER"	"2549"	"pts/1"	"ts/1"	"root"	"65.2.161.68"	"0"	"0"	"0"	"2024/03/06 06:32:45"	"387923"	"65.2.161.68"
"DEAD"	"2491"	"pts/1"	""	""	""	"0"	"0"	"0"	"2024/03/06 06:37:24"	"590579"	"0.0.0.0"
"USER"	"2667"	"pts/1"	"ts/1"	"cyberjunkie"	"65.2.161.68"	"0"	"0"	"0"	"2024/03/06 06:37:35"	"475575"	"65.2.161.68"
